Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,
Date,,,,,,,,
2025-03-24,278.3900146484375,278.6400146484375,256.3299865722656,258.0799865722656,169079900,,278.3900146484375,
2025-03-25,288.1400146484375,288.20001220703125,271.2799987792969,283.6000061035156,150361500,,279.31858607700894,
2025-03-26,272.05999755859375,284.8999938964844,266.510009765625,282.6600036621094,153629800,,278.62729193239795,
2025-03-27,273.1300048828125,291.8500061035156,271.82000732421875,272.4800109863281,162572100,,278.1037407848184,
2025-03-28,263.54998779296875,276.1000061035156,260.57000732421875,275.5799865722656,123809400,,276.71766907130893,
2025-03-31,259.1600036621094,260.55999755859375,243.36000061035156,249.30999755859375,134008900,,275.045510460909,
2025-04-01,268.4599914550781,277.45001220703125,259.25,263.79998779296875,146486900,,274.41831817463935,
2025-04-02,282.760009765625,284.989990234375,251.27000427246094,254.60000610351562,212787800,,275.21276499282845,
2025-04-03,267.2799987792969,276.29998779296875,261.510009765625,265.2900085449219,136174300,,274.45726344868257,
2025-04-04,239.42999267578125,261.0,236.0,255.3800048828125,181229400,,271.12133289888243,
2025-04-07,233.2899932861328,252.0,214.25,223.77999877929688,183453800,,267.51834817385867,
2025-04-08,221.86000061035156,250.44000244140625,217.8000030517578,245.0,171603500,,263.16993412019133,
2025-04-09,272.20001220703125,274.69000244140625,223.8800048828125,224.69000244140625,219433400,,264.0299415570332,
2025-04-10,252.39999389648438,262.489990234375,239.3300018310547,260.0,181722600,,262.9223274941238,43.35327826195813
2025-04-11,252.30999755859375,257.739990234375,241.36000061035156,251.83999633789062,128948100,,261.9116294050257,43.33333125306288
2025-04-14,252.35000610351562,261.79998779296875,245.92999267578125,258.3599853515625,100135200,,261.00099861440566,40.37334069252826
2025-04-15,254.11000061035156,258.75,247.5399932861328,249.91000366210938,79594300,,260.34471309021,44.76890150004247
2025-04-16,241.5500030517578,251.97000122070312,233.88999938964844,247.61000061035156,112378700,,258.5547407055955,41.3744143026149
2025-04-17,241.3699951171875,244.33999633789062,237.67999267578125,243.47000122070312,83404800,,256.9180982686043,43.613961675018615
2025-04-21,227.5,232.2100067138672,222.7899932861328,230.25999450683594,97768000,257.0650009155273,254.1163746239753,41.356340544360535
2025-04-22,237.97000122070312,242.7899932861328,229.85000610351562,230.9600067138672,120858500,255.04400024414062,252.57862477604462,41.7286146868468
2025-04-23,250.74000549316406,259.45001220703125,244.42999267578125,254.86000061035156,150381900,253.17399978637695,252.40351817767504,41.24083694412561
2025-04-24,259.510009765625,259.5400085449219,249.1999969482422,250.5,94464200,252.5465003967285,253.08032690033693,47.793494819188545
2025-04-25,284.95001220703125,286.8500061035156,259.6300048828125,261.69000244140625,167560700,253.13750076293945,256.115535024784,63.10607237476127
2025-04-28,285.8800048828125,294.8599853515625,272.4200134277344,288.9800109863281,151731800,254.25400161743164,258.9502464398343,65.60997418280343
2025-04-29,292.0299987792969,293.32000732421875,279.4700012207031,285.5,108906600,255.89750137329102,262.10069904359267,71.50211001793518
2025-04-30,282.1600036621094,284.45001220703125,270.7799987792969,279.8999938964844,128961100,256.5825019836426,264.0111090072609,54.05867582077851
2025-05-01,280.5199890136719,290.8699951171875,279.80999755859375,280.010009765625,99659000,256.4705009460449,265.58338329358577,63.44939392515166
2025-05-02,287.2099914550781,294.7799987792969,279.80999755859375,284.8999938964844,114454700,257.467000579834,267.64306026134693,65.7009129461074
2025-05-05,280.260009765625,284.8500061035156,274.3999938964844,284.57000732421875,94618900,259.50850143432615,268.8446744998496,61.82126495051266
2025-05-06,275.3500061035156,277.7300109863281,271.3500061035156,273.1099853515625,76715800,261.6115020751953,269.4642298906749,58.76237872441305
2025-05-07,276.2200012207031,277.9200134277344,271.0,276.8800048828125,71592600,264.3295021057129,270.1076366840109,65.8296045603313
2025-05-08,284.82000732421875,289.79998779296875,279.4100036621094,279.6300048828125,97539400,264.96050186157225,271.5088148402212,68.42195154140563
2025-05-09,298.260009765625,307.0400085449219,290.0,290.2099914550781,132387800,267.2535026550293,274.05654769025966,80.11064245345744
2025-05-12,318.3800048828125,322.2099914550781,311.5,321.989990234375,112826700,270.55700302124023,278.27782932764563,81.62013665827344
2025-05-13,334.07000732421875,337.5899963378906,316.79998779296875,320.0,136992600,274.6430030822754,283.59137008922403,82.0327542532396
2025-05-14,347.67999267578125,350.0,337.0,342.5,136997300,279.3215026855469,289.6950484308009,82.67734062021431
2025-05-15,342.82000732421875,346.1400146484375,334.7200012207031,340.3399963378906,97882600,284.38500289916993,294.75456832541215,75.30832561918703
2025-05-16,349.9800109863281,351.6199951171875,342.3299865722656,346.239990234375,95895700,289.815503692627,300.01413429311845,76.58428318983707
2025-05-19,342.0899963378906,343.0,333.3699951171875,336.29998779296875,88869900,295.5450035095215,304.0213592497634,70.46606809288325
2025-05-20,343.82000732421875,354.989990234375,341.6300048828125,347.8699951171875,131715500,300.83750381469724,307.8117066854258,77.00595728982744
2025-05-21,334.6199951171875,347.3500061035156,332.20001220703125,344.42999267578125,102354800,305.03150329589846,310.36487701226025,72.22313734840559
2025-05-22,341.0400085449219,347.2699890136719,331.3900146484375,331.8999938964844,97113400,309.1080032348633,313.286318110609,72.16138809359762
2025-05-23,339.3399963378906,343.17999267578125,333.2099914550781,337.9200134277344,84654800,311.82750244140624,315.76762079892154,75.4216716220507
2025-05-27,362.8900146484375,363.7900085449219,347.32000732421875,347.3500061035156,120146400,315.6780029296875,320.25546783220875,82.4606835128877
2025-05-28,356.8999938964844,365.0,355.9100036621094,364.8399963378906,91404300,318.9215026855469,323.7454226954731,78.82250100954775
2025-05-29,358.42999267578125,367.7099914550781,356.0,365.2900085449219,88087800,322.7350021362305,327.04871507455005,77.69581737872778
2025-05-30,346.4599914550781,363.67999267578125,345.2900085449219,355.5199890136719,123474900,326.0320022583008,328.8974080631718,68.33813513135067
2025-06-02,342.69000244140625,348.0199890136719,333.3299865722656,343.5,81873800,328.8060028076172,330.2109884801465,60.56312814670069
2025-06-03,344.2699890136719,355.3999938964844,343.0400085449219,346.6000061035156,99324500,332.00650177001955,331.5499409119108,55.05149385220444
2025-06-04,332.04998779296875,345.6000061035156,327.3299865722656,345.1000061035156,98912100,334.8415008544922,331.59756442439254,42.151253313194665
2025-06-05,284.70001220703125,324.54998779296875,273.2099914550781,322.489990234375,287499800,335.26550140380857,327.13113087988194,29.54386486514356
2025-06-06,295.1400146484375,305.5,291.1400146484375,298.8299865722656,164747700,335.78150177001953,324.08435790545866,31.13390164793597
2025-06-09,308.5799865722656,309.8299865722656,281.8500061035156,285.9599914550781,140908900,336.29750061035156,322.60775111182124,38.89588226109567
2025-06-10,326.0899963378906,327.8299865722656,310.6700134277344,314.94000244140625,151256500,336.6830001831055,322.939393514304,44.68110351055573
2025-06-11,326.42999267578125,335.5,322.5,334.3999938964844,122611400,336.3009994506836,323.2718315296828,47.40510659397059
2025-06-12,319.1099853515625,332.55999755859375,316.8599853515625,323.0799865722656,105127500,334.8724990844727,322.87546522700467,43.09116490011074
2025-06-13,325.30999755859375,332.989990234375,313.29998779296875,313.9700012207031,128964300,333.9969985961914,323.1073254490608,45.70185665282677
2025-06-16,329.1300048828125,332.04998779296875,326.4100036621094,331.2900085449219,83925900,332.9544982910156,323.680913966561,38.23528911304182
2025-06-17,316.3500061035156,327.260009765625,314.739990234375,326.0899963378906,88282700,331.66749877929686,322.9827322653186,36.507619953184836
2025-06-18,322.04998779296875,329.32000732421875,315.45001220703125,317.30999755859375,95137700,330.57899780273436,322.8938994584281,38.221957172621586
2025-06-20,322.1600036621094,332.3599853515625,317.7799987792969,327.95001220703125,108688000,329.9559982299805,322.82400462068347,41.47846988266417
2025-06-23,348.67999267578125,357.5400085449219,327.4800109863281,327.5400085449219,190716800,330.33799743652344,325.28647967354993,51.81152598637165
2025-06-24,340.4700012207031,356.260009765625,340.44000244140625,356.1700134277344,114736200,330.3944976806641,326.73252934470736,48.895095180223414
2025-06-25,327.54998779296875,343.0,320.3999938964844,342.70001220703125,119845100,328.62749633789065,326.81038253025605,48.69686067996979
2025-06-26,325.7799987792969,331.04998779296875,323.6099853515625,324.6099853515625,80440900,327.0714965820313,326.7122507444504,66.16304332425506
2025-06-27,323.6300048828125,329.3399963378906,317.5,324.510009765625,89067000,325.3314971923828,326.41870351953247,61.99174825498201
2025-06-30,317.6600036621094,325.5799865722656,316.6000061035156,319.8999938964844,76695100,323.89149780273436,325.5845416283493,54.07834014212659
2025-07-01,300.7099914550781,305.8900146484375,293.2099914550781,298.4599914550781,145085700,321.792497253418,323.2155368499425,38.54279403887823
2025-07-02,315.6499938964844,316.8299865722656,303.82000732421875,312.6300048828125,119483700,320.3614974975586,322.4950089496132,45.7003839284171
2025-07-03,315.3500061035156,318.45001220703125,312.760009765625,317.989990234375,58042300,319.52649841308596,321.8145324880801,48.41136582541748
2025-07-07,293.94000244140625,296.1499938964844,288.7699890136719,291.3699951171875,131177900,319.9884979248047,319.1598153407778,38.25533583506659
2025-07-08,297.80999755859375,304.04998779296875,294.3500061035156,297.0,103246700,320.1219970703125,317.1264993615222,38.27843823067456
2025-07-09,295.8800048828125,300.1499938964844,293.54998779296875,297.54998779296875,75586800,319.4869979858398,315.10302369688316,41.661911890074045
2025-07-10,309.8699951171875,310.4800109863281,300.0,300.04998779296875,104365300,318.6759979248047,314.6046400226264,45.352566117937045
2025-07-11,313.510009765625,314.0899963378906,305.6499938964844,307.8900146484375,79236400,318.0299987792969,314.5003895219596,46.78606101384959
2025-07-14,316.8999938964844,322.6000061035156,312.6700134277344,317.7300109863281,78043400,317.919499206543,314.72892327191437,35.74120298548743
2025-07-15,310.7799987792969,321.20001220703125,310.5,319.67999267578125,77556300,317.1929992675781,314.35283522499844,36.42432141282325
2025-07-16,321.6700134277344,323.5,312.6199951171875,312.79998779296875,97284800,316.8199996948242,315.04970933954473,47.26054060940193
2025-07-17,319.4100036621094,324.3399963378906,317.05999755859375,323.1499938964844,73922900,316.9729995727539,315.46497546550324,47.045730794249636
2025-07-18,329.6499938964844,330.8999938964844,321.4200134277344,321.6600036621094,94255000,317.3529998779297,316.81592960178716,52.5970618337774
2025-07-21,328.489990234375,338.0,326.8800048828125,334.3999938964844,75768800,317.669499206543,317.92774490012886,54.8744202580245
2025-07-22,332.1099853515625,335.4100036621094,321.54998779296875,329.739990234375,77370400,316.840998840332,319.2784344669321,66.05973842159531
2025-07-23,332.55999755859375,336.20001220703125,328.6700134277344,330.8999938964844,92553800,316.44549865722655,320.54334523756654,60.15372036336703
2025-07-24,305.29998779296875,310.1499938964844,300.4100036621094,310.0,156966000,315.33299865722654,319.09159690950963,45.44134205348424
2025-07-25,316.05999755859375,323.6300048828125,308.010009765625,308.739990234375,148227000,314.8469985961914,318.80287316180335,61.10664356345222
2025-07-28,325.5899963378906,330.489990234375,315.69000244140625,318.45001220703125,112673800,314.9449981689453,319.44926584524023,63.198400466289016
2025-07-29,321.20001220703125,326.25,318.25,325.54998779296875,87358900,315.1219985961914,319.6160035939822,61.754876719765925
2025-07-30,319.0400085449219,324.45001220703125,311.6199951171875,322.17999267578125,83931900,316.0384994506836,319.56114692264316,54.78252371740737
2025-07-31,308.2699890136719,321.3699951171875,306.1000061035156,319.6099853515625,85270900,315.669499206543,318.4857985503602,47.456301359513255
2025-08-01,302.6300048828125,309.30999755859375,297.82000732421875,306.2099914550781,89121400,315.0334991455078,316.9757229629747,43.220909797604
2025-08-04,309.260009765625,312.1199951171875,303.0,309.0799865722656,78683900,315.79949951171875,316.24089313465566,49.281397298260444
2025-08-05,308.7200012207031,312.45001220703125,305.5,308.95001220703125,57961300,316.3449996948242,315.5246177142792,43.21349566721554
2025-08-06,319.9100036621094,320.4700012207031,306.92999267578125,307.8900146484375,78523600,317.54649963378904,315.94227351883444,50.23960124176152
2025-08-07,322.2699890136719,322.3999938964844,316.1600036621094,319.7900085449219,66658700,318.16649932861327,316.54491308977134,46.174578477234576
2025-08-08,329.6499938964844,335.1499938964844,320.9800109863281,321.42999267578125,91200300,318.97349853515624,317.79301602374403,50.56486336194381
2025-08-11,339.0299987792969,346.6400146484375,334.1499938964844,335.0,105320200,320.0799987792969,319.81558580998717,53.190709758614595
2025-08-12,340.8399963378906,345.260009765625,332.94000244140625,345.0,80522100,321.58299865722654,321.8179106221684,53.770490618625665
2025-08-13,339.3800048828125,348.9800109863281,338.20001220703125,341.5,67838900,322.46849822998047,323.4904910279441,70.28572445824032
2025-08-14,335.5799865722656,340.4700012207031,330.3999938964844,335.760009765625,75000700,323.2769973754883,324.6418715559747,62.66873497443202
2025-08-15,330.55999755859375,339.29998779296875,327.0199890136719,337.6600036621094,74319800,323.32249755859374,325.2055026038432,53.42616938118699
2025-08-18,335.1600036621094,336.2699890136719,329.5899963378906,329.6199951171875,56956600,323.65599822998047,326.1535503236781,59.59581212018233
2025-08-19,329.30999755859375,340.54998779296875,327.8500061035156,335.7900085449219,75956000,323.51599884033203,326.454164346051,56.7185567821234
2025-08-20,323.8999938964844,331.3699951171875,314.6000061035156,329.2200012207031,77481800,323.08299865722654,326.21091001752086,60.99620323064622
2025-08-21,320.1099853515625,324.8999938964844,318.67999267578125,322.0799865722656,55744400,323.82349853515626,325.6298695731439,62.626388654978705
2025-08-22,340.010009765625,340.25,319.69000244140625,321.6600036621094,94016300,325.0209991455078,326.9994067343326,68.63861127902942
2025-08-25,346.6000061035156,349.5299987792969,335.0299987792969,338.8999938964844,86670000,326.0714996337891,328.8661304837786,71.39145480615453
2025-08-26,351.6700134277344,351.8999938964844,343.7200012207031,344.92999267578125,76651600,327.5949996948242,331.03792885939345,69.267163814362
2025-08-27,349.6000061035156,355.3900146484375,349.1600036621094,351.94000244140625,65519000,329.1229995727539,332.805745739786,66.638253472937
2025-08-28,345.9800109863281,353.54998779296875,340.260009765625,350.9100036621094,67903200,331.00850067138674,334.0604376680281,60.41853093616508
2025-08-29,333.8699951171875,348.75,331.70001220703125,347.2300109863281,81145700,332.5705001831055,334.0423002822338,46.81874266929622
2025-09-02,329.3599853515625,333.3299865722656,325.6000061035156,328.2300109863281,58392000,333.5754989624023,333.5963655269318,43.15035792569523
2025-09-03,334.0899963378906,343.3299865722656,328.510009765625,335.20001220703125,88733300,334.84399871826173,333.6433779851183,46.96221285311868
2025-09-04,338.5299987792969,338.8900146484375,331.4800109863281,336.1499938964844,60711000,335.7749984741211,334.1087704417068,51.68168362511326
2025-09-05,350.8399963378906,355.8699951171875,344.67999267578125,348.0,108989800,337.20349884033203,335.70222052705765,60.67367328169336
2025-09-08,346.3999938964844,358.44000244140625,344.8399963378906,354.6400146484375,75208300,338.040998840332,336.7210560860507,55.92575907739436
2025-09-09,346.9700012207031,350.7699890136719,343.82000732421875,348.44000244140625,53816000,338.43799896240233,337.6971460988747,59.8593044275319
2025-09-10,347.7900085449219,356.3299865722656,346.07000732421875,350.54998779296875,72121700,338.7854995727539,338.6583710937364,64.05789606005101
2025-09-11,368.80999755859375,368.989990234375,347.6000061035156,350.1700134277344,103756000,340.25699920654296,341.52995456657993,73.82582059976852
2025-09-12,395.94000244140625,396.69000244140625,370.239990234375,370.94000244140625,168156400,343.275,346.71186388799197,75.5551335209621
2025-09-15,410.0400085449219,425.70001220703125,402.42999267578125,423.1300048828125,163823700,347.2490005493164,352.7431157600805,77.12500769854682
2025-09-16,421.6199951171875,423.25,411.42999267578125,414.5,104285700,351.57200012207034,359.3028185559955,78.3312910006425
2025-09-17,425.8599853515625,428.30999755859375,409.6700134277344,415.75,106133500,356.3994995117188,365.6415963460495,80.35343244944448
2025-09-18,416.8500061035156,432.2200012207031,416.55999755859375,428.8699951171875,90454500,361.0470001220703,370.51858775152243,77.0475497421811
2025-09-19,426.07000732421875,429.4700012207031,421.7200012207031,421.82000732421875,93131000,366.3450012207031,375.8091991393983,85.98189811149254
2025-09-22,434.2099914550781,444.9800109863281,429.1300048828125,431.1099853515625,97108800,371.0550003051758,381.3711793599392,89.7912828805265
